baseline,corrupted_baseline,edges,edges_EAP-IG,loss_EAP-IG
3.8070106506347656,0.03195895254611969,0,0,0.0021313359029591084
3.8070106506347656,0.03195895254611969,100,51,-5.686857548425905e-06
3.8070106506347656,0.03195895254611969,200,142,3.0147350571496645e-06
3.8070106506347656,0.03195895254611969,300,232,-0.012104062363505363
3.8070106506347656,0.03195895254611969,400,308,-6.0633246903307736e-05
3.8070106506347656,0.03195895254611969,500,386,-0.00019967496336903423
3.8070106506347656,0.03195895254611969,600,526,-0.05837177857756615
3.8070106506347656,0.03195895254611969,700,669,-2.480698640283663e-06
3.8070106506347656,0.03195895254611969,800,772,-1.7617644516576547e-06
3.8070106506347656,0.03195895254611969,900,871,-1.2396625379551551e-06
3.8070106506347656,0.03195895254611969,1000,984,-4.844818249694072e-06
3.8070106506347656,0.03195895254611969,1100,1088,-6.735450369887985e-06
3.8070106506347656,0.03195895254611969,1200,1187,-9.15958298719488e-06
3.8070106506347656,0.03195895254611969,1300,1289,-7.759594154777005e-05
3.8070106506347656,0.03195895254611969,1400,1388,-0.00011274529970251024
3.8070106506347656,0.03195895254611969,1500,1486,-5.147546835360117e-05
3.8070106506347656,0.03195895254611969,1600,1587,-3.145661685266532e-05
3.8070106506347656,0.03195895254611969,1700,1685,-7.486371032427996e-05
3.8070106506347656,0.03195895254611969,1800,1785,-3.616966205299832e-05
3.8070106506347656,0.03195895254611969,1900,1885,-2.5432094844290987e-05
3.8070106506347656,0.03195895254611969,2000,1985,-2.219753514509648e-05
